year,CO2_price,location,total_cost,EU_TS_penalty,FuelEU_penalty,amount_VLSFO,amount_MDO,amount_BIO-DIESEL,amount_LNG,amount_E-METHANOL
2045,130,Inter,6309445.418,754270.15,2725949.03,2819.512195121951,800.0,,,
2045,130,Berth,831500.0,416780.0,2530863.51,,,,,
2045,130,Intra,5707346.07,500136.0,2210893.4,0.0,1200.0,1008.3333333333334,,
2045,130,Inter,2197017.588,248034.93,906925.78,590.2439024390244,600.0,0.0,,
2045,130,Berth,582050.0,291746.0,1084655.79,,,,,
2045,130,Intra,2935948.48,436104.32,1618776.59,,1000.0,,54.054054054054056,
2045,130,Inter,1441730.283,145259.19,524799.74,,500.0,,229.72972972972974,
2045,130,Berth,498900.0,250068.0,614638.28,,,,,
2045,130,Intra,1881805.816,250068.0,863953.39,,600.0,,,211.05527638190955
2045,130,Inter,724914.559,62517.0,215988.35,,300.0,,,105.52763819095478
2045,130,Berth,291025.0,145873.0,253086.35,,,,,
2045,150,Intra,18507606.408,3483592.68,10904812.51,5743.90243902439,1500.0,,,
2045,150,Inter,6541528.54,870311.71,2725949.03,2819.512195121951,800.0,,,
2045,150,Berth,831500.0,480900.0,2530863.51,,,,,
2045,150,Intra,5784290.07,577080.0,2210893.4,0.0,1200.0,1008.3333333333334,,
2045,150,Inter,2273336.027,286194.15,906925.78,590.2439024390244,600.0,0.0,,
2045,150,Berth,582050.0,336630.0,1084655.79,,,,,
2045,150,Intra,3003041.453,503197.3,1618776.59,,1000.0,,54.054054054054056,
2045,150,Inter,1486425.418,167606.76,524799.74,,500.0,,229.72972972972974,
2045,150,Berth,498900.0,288540.0,614638.28,,,,,
2045,150,Intra,1920277.816,288540.0,863953.39,,600.0,,,211.05527638190955
2045,150,Inter,744150.559,72135.0,215988.35,,300.0,,,105.52763819095478
2045,150,Berth,291025.0,168315.0,253086.35,,,,,
2045,170,Intra,18972085.433,3948071.71,10904812.51,5743.90243902439,1500.0,,,
2045,170,Inter,6773611.662,986353.27,2725949.03,2819.512195121951,800.0,,,
2045,170,Berth,831500.0,545020.0,2530863.51,,,,,
2045,170,Intra,5861234.352,654024.1,2210893.81,0.00019188342249954187,1200.0,1008.33316943291,,
2045,170,Inter,2349654.466,324353.37,906925.78,590.2439024390244,600.0,0.0,,
2045,170,Berth,582050.0,381514.0,1084655.79,,,,,
2045,170,Intra,3070134.426,570290.27,1618776.59,,1000.0,,54.054054054054056,
2045,170,Inter,1531120.553,189954.32,524799.74,,500.0,,229.72972972972974,
